"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"The Monuments Men",2014,"adaptation","31","52","42",44,"53","-9","49","-7",NA,"action, adventure, biography, drama, history, thriller, comedy, war","22003433","22","78031620",78.03,"76.95","76952415","154984035","155","49.65%","70","221.41%","31.43%","","","http://www.amazon.com/gp/product/B00II399HG/?tag=titb-20",1,NA,NA,NA,"Feb 7, 2014",NA
"Dracula Untold",2014,"original screenplay ","23","40","32",59,"63","-4","61","-30",NA,"action, drama, fantasy, horror, war","23514615","23.51","56280355",56.28,"159.25","159248846","215529201","216","73.89%","70","307.90%","33.59%","","","http://www.amazon.com/gp/product/B00RW1J8RG/?tag=titb-20",1,NA,NA,NA,"Oct 10, 2014",NA
"Fury (2014)",2014,"original screenplay ","77","64","71",85,"73","12","79","-9",NA,"action, drama, war","23702421","23.7","85817906",85.82,"126","126000000","211817906","212","59.49%","68","311.50%","34.86%","","","http://www.amazon.com/gp/product/B00OLI95R6/?tag=titb-20",1,NA,NA,NA,"Oct 17, 2014",NA
"Need for Speed",2014,"adaptation","22","39","31",58,"65","-7","62","-31",NA,"action, drama, thriller, crime","17844939","17.84","43577636",43.58,"159.7","159700000","203277636","203","78.56%","66","308.00%","27.04%","","","http://www.amazon.com/gp/product/B00MFDPZRS/?tag=titb-20",1,NA,NA,NA,"Mar 14, 2014",NA
"Annie (2014)",2014,"adaptation","27","33","30",62,"48","14","55","-25",NA,"drama, comedy, family, musical","15861939","15.86","85911262",85.91,"47.91","47910554","133821816","134","35.80%","65","205.88%","24.40%","","","http://www.amazon.com/gp/product/B00R7FZ2F4/?tag=titb-20",1,NA,NA,NA,"Dec 19, 2014",NA
"Unbroken",2014,"adaptation","51","59","55",71,"64","7","68","-13",NA,"action, biography, drama, history, sport, war","30621445","30.62","115637895",115.64,"45.82","45821402","161459297","161","28.38%","65","248.40%","47.11%","","","http://www.amazon.com/gp/product/B00RFHUYKW/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2014",NA
"Gone Girl",2014,"adaptation","88","79","84",88,"81","7","85","-1",NA,"drama, mystery, thriller","37513109","37.51","167767189",167.77,"200.29","200294722","368061911","368","54.42%","61","603.38%","61.50%","","","http://www.amazon.com/gp/product/B00S65TBHY/?tag=titb-20",1,NA,NA,NA,"Oct 3, 2014",NA
"Jack Ryan: Shadow Recruit",2014,"adaptation","56","57","57",53,"60","-7","57","0",NA,"action, drama, mystery, thriller","15451981","15.45","50577412",50.58,"84.93","84933618","135511030","136","62.68%","60","225.85%","25.75%","","","http://www.amazon.com/gp/product/B00HZ3C4N6/?tag=titb-20",1,NA,NA,NA,"Jan 17, 2014",NA
"The Boxtrolls",2014,"adaptation","75","61","68",65,"70","-5","68","1",NA,"adventure, fantasy, comedy, animation, family","17275239","17.28","50837305",50.84,"57.42","57418465","108255770","108","53.04%","60","180.43%","28.79%","","","http://www.amazon.com/gp/product/B00QHMDWUA/?tag=titb-20",1,NA,NA,NA,"Sep 26, 2014",NA
"The LEGO Movie",2014,"original screenplay ","96","83","90",87,"82","5","85","5",NA,"action, adventure, fantasy, comedy, animation, family","69050279","69.05","257760692",257.76,"211","211000000","468760692","469","45.01%","60","781.27%","115.08%","","","http://www.amazon.com/gp/product/B00L23SE52/?tag=titb-20",1,NA,NA,NA,"Feb 7, 2014",NA
"The Equalizer",2014,"adaptation","61","57","59",77,"68","9","73","-14",NA,"action, thriller, crime","34137828","34.14","101530738",101.53,"90.8","90800000","192330738","192","47.21%","55","349.69%","62.07%","","","http://www.amazon.com/gp/product/B00NY4UIKG/?tag=titb-20",1,NA,NA,NA,"Sep 26, 2014",NA
"22 Jump Street",2014,"adaptation","85","71","78",78,"74","4","76","2",NA,"action, comedy, crime","57071445","57.07","191719337",191.72,"139.61","139614539","331333876","331","42.14%","50","662.67%","114.14%","","","http://www.amazon.com/gp/product/B00KVLQT6M/?tag=titb-20",1,NA,NA,NA,"Jun 13, 2014",NA
"Into the Woods",2014,"adaptation","71","69","70",51,"61","-10","56","14",NA,"adventure, fantasy, comedy, family, musical","31051923","31.05","128002372",128,"76.3","76300000","204302372","204","37.35%","50","408.60%","62.10%","","","http://www.amazon.com/gp/product/B00TPELV50/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2014",NA
"Into The Storm",2014,"original screenplay ","22","44","33",43,"52","-9","48","-15",NA,"action, thriller","17346427","17.35","47602194",47.6,"113","113000000","160602194","161","70.36%","50","321.20%","34.69%","","","http://www.amazon.com/gp/product/B00YIHMBFI/?tag=titb-20",1,NA,NA,NA,"Aug 8, 2014",NA
"Non-Stop",2014,"original screenplay ","60","56","58",64,"71","-7","68","-10",NA,"action, mystery, thriller","28875635","28.88","92168600",92.17,"130.64","130641000","222809600","223","58.63%","50","445.62%","57.75%","","","http://www.amazon.com/gp/product/B00KW274SM/?tag=titb-20",1,NA,NA,NA,"Feb 28, 2014",NA
"The Book of Life (2014)",2014,"original screenplay ","82","67","75",78,"73","5","76","-1",NA,"adventure, fantasy, comedy, romance, animation, family","17005218","17.01","50151543",50.15,"47.29","47285106","97437106","97","48.53%","50","194.87%","34.01%","","","http://www.amazon.com/gp/product/B00OM69HZW/?tag=titb-20",1,NA,NA,NA,"Oct 17, 2014",NA
"The Judge",2014,"original screenplay ","47","48","48",73,"71","2","72","-25",NA,"drama","13116226","13.12","47119388",47.12,"36.6","36600000","83719388","84","43.72%","50","167.44%","26.23%","","","http://www.amazon.com/gp/product/B00OCDSPK8/?tag=titb-20",1,NA,NA,NA,"Oct 10, 2014",NA
"Muppets Most Wanted",2014,"sequel","78","61","70",59,"63","-4","61","9",NA,"adventure, comedy, crime, family, musical","17005126","17.01","51183113",51.18,"29.2","29200000","80383113","80","36.33%","50","160.77%","34.01%","","","http://www.amazon.com/gp/product/B00J5A1V5Y/?tag=titb-20",1,NA,NA,NA,"Mar 21, 2014",NA
"Planes: Fire & Rescue",2014,"sequel","44","48","46",57,"59","-2","58","-12",NA,"adventure, comedy, animation, family","17509407","17.51","59165787",59.17,"92","92000000","151165787","151","60.86%","50","302.33%","35.02%","","","http://www.amazon.com/gp/product/B00LXLN4W6/?tag=titb-20",1,NA,NA,NA,"Jul 18, 2014",NA
"Step Up All In",2014,"sequel","43","45","44",57,"49","8","53","-9",NA,"music, romance, drama","6469857","6.47","14904384",14.9,"71.26","71261262","86165646","86","82.70%","45","191.48%","14.38%","","","http://www.amazon.com/gp/product/B00O96JHQE/?tag=titb-20",1,NA,NA,NA,"Aug 8, 2014",NA
"The Interview",2014,"original screenplay","53","52","53",50,"61","-11","56","-3",NA,"comedy","1794666","1.79","6105175",6.11,"5.2","5200000","11305175","11","46.00%","43","26.29%","4.17%","","","http://www.amazon.com/gp/product/B00RNRD7Y4/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2014",NA
"The Nut Job",2014,"adaptation","10","37","24",45,"42","3","44","-20",NA,"adventure, comedy, animation, family","19423000","19.42","64251541",64.25,"49.06","49056421","113307962","113","43.29%","42","269.78%","46.25%","","","http://www.amazon.com/gp/product/B00JJHEVKA/?tag=titb-20",1,NA,NA,NA,"Jan 17, 2014",NA
"Horrible Bosses 2",2014,"sequel","35","40","38",50,"62","-12","56","-19",NA,"comedy, crime","15457418","15.46","54445357",54.45,"52.2","52200000","106645357","107","48.95%","42","253.92%","36.80%","","","http://www.amazon.com/gp/product/B00S7HRCKY/?tag=titb-20",1,NA,NA,NA,"Nov 26, 2014",NA
"Jersey Boys",2014,"adaptation","53","54","54",63,"69","-6","66","-13",NA,"biography, drama, music, musical","13319371","13.32","47047013",47.05,"20.3","20300000","67347013","67","30.14%","40","168.37%","33.30%","","","http://www.amazon.com/gp/product/B00PGV8UV4/?tag=titb-20",1,NA,NA,NA,"Jun 20, 2014",NA
"A Million Ways to Die in the West",2014,"original screenplay ","33","44","39",40,"51","-11","46","-7",NA,"comedy, western","16797385","16.8","43139300",43.14,"43.27","43268783","86408083","86","50.07%","40","216.02%","41.99%","","","http://www.amazon.com/gp/product/B00KNOVIOU/?tag=titb-20",1,NA,NA,NA,"May 30, 2014",NA
"Blended",2014,"original screenplay ","14","31","23",64,"42","22","53","-31",NA,"comedy","14284031","14.28","46294610",46.29,"80.5","80500000","126794610","127","63.49%","40","316.99%","35.71%","","","http://www.amazon.com/gp/product/B00KL5HW9Q/?tag=titb-20",1,NA,NA,NA,"May 23, 2014",NA
"Lucy",2014,"original screenplay ","66","61","64",47,"60","-13","54","10",NA,"action, sci-fi, thriller","43899340","43.9","126663600",126.66,"332.2","332200000","458863600","459","72.40%","40","1147.16%","109.75%","","","http://www.amazon.com/gp/product/B00QQW1VJA/?tag=titb-20",1,NA,NA,NA,"Jul 25, 2014",NA
"Sex Tape",2014,"original screenplay ","17","36","27",34,"30","4","32","-6",NA,"drama, comedy","14608152","14.61","38543473",38.54,"87.53","87526036","126069509","126","69.43%","40","315.17%","36.52%","","","http://www.amazon.com/gp/product/B00LWY5B52/?tag=titb-20",1,NA,NA,NA,"Jul 18, 2014",NA
"The Other Woman (2014)",2014,"original screenplay ","23","39","31",57,"51","6","54","-23",NA,"comedy, romance","24763752","24.76","83911193",83.91,"112.87","112870000","196781193","197","57.36%","40","491.95%","61.91%","","","http://www.amazon.com/gp/product/B00JXCZKU6/?tag=titb-20",1,NA,NA,NA,"Apr 25, 2014",NA
"Dumb and Dumber To",2014,"sequel","29","36","33",38,"56","-18","47","-15",NA,"comedy","36111775","36.11","86208010",86.21,"83.63","83629000","169837010","170","49.24%","40","424.59%","90.28%","","","http://www.amazon.com/gp/product/B00S8P05OK/?tag=titb-20",1,NA,NA,NA,"Nov 14, 2014",NA
"Dolphin Tale 2",2014,"sequel","67","58","63",73,"54","19","64","-1",NA,"drama, family","15873397","15.87","42024533",42.02,"10.4","10400000","52424533","52","19.84%","36","145.62%","44.09%","","","http://www.amazon.com/gp/product/B00PTOYJJ0/?tag=titb-20",1,NA,NA,NA,"Sep 12, 2014",NA
"The Maze Runner",2014,"adaptation","63","56","60",68,"67","1","68","-8",NA,"action, sci-fi, mystery, thriller","32512804","32.51","102427862",102.43,"238.32","238322778","340750640","341","69.94%","34","1002.21%","95.63%","","","http://www.amazon.com/gp/product/B00NQFLZW8/?tag=titb-20",1,NA,NA,NA,"Sep 19, 2014",NA
"Deliver Us From Evil",2014,"adaptation","28","40","34",42,"59","-17","51","-17",NA,"","9740471","9.74","30477122",30.48,"57.36","57360693","87937815","88","65.23%","30","293.13%","32.47%","","","http://www.amazon.com/gp/product/B00LGIO8X0/?tag=titb-20",1,NA,NA,NA,"Jul 2, 2014",NA
"Vampire Academy",2014,"adaptation","9","30","20",57,"58","-1","58","-38",NA,"fantasy","3921742","3.92","7791979",7.79,"7.6","7600000","15391979","15","49.38%","30","51.31%","13.07%","","","http://www.amazon.com/gp/product/B00JJH4GAU/?tag=titb-20",1,NA,NA,NA,"Feb 7, 2014",NA
"Get On Up",2014,"based on a true story","80","71","76",70,"71","-1","71","5",NA,"biography, drama, music","13585915","13.59","30703100",30.7,"1.21","1208498","31911598","32","3.79%","30","106.37%","45.29%","","","http://www.amazon.com/gp/product/B00QRPEZ3K/?tag=titb-20",1,NA,NA,NA,"Aug 1, 2014",NA
"A Walk Among the Tombstones",2014,"adaptation","66","57","62",54,"66","-12","60","2",NA,"action, drama, mystery, thriller","12758780","12.76","26307600",26.31,"26.87","26874000","53181600","53","50.53%","28","189.93%","45.57%","","","http://www.amazon.com/gp/product/B00S65U63W/?tag=titb-20",1,NA,NA,NA,"Sep 19, 2014",NA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"adaptation","62","54","58",60,"54","6","57","1",NA,"comedy, family","18360230","18.36","66954149",66.95,"33.7","33700000","100654000","101","33.48%","28","359.48%","65.57%","","","http://www.amazon.com/gp/product/B00ST1Q90C/?tag=titb-20",1,NA,NA,NA,"Oct 10, 2014",NA
"3 Days to Kill",2014,"original screenplay ","28","40","34",44,"57","-13","51","-17",NA,"action, drama, thriller, crime ","12242218","12.24","30697999",30.7,"21.9","21900000","52597999","53","41.64%","28","187.85%","43.72%","","","http://www.amazon.com/gp/product/B00JNMLMJ4/?tag=titb-20",1,NA,NA,NA,"Feb 21, 2014",NA
"The Best of Me",2014,"adaptation","8","29","19",60,"48","12","54","-36",NA,"drama, romance","10003827","10","26766213",26.77,"9.16","9160000","35926213","36","25.50%","26","138.18%","38.48%","","","http://www.amazon.com/gp/product/B00T4819QS/?tag=titb-20",1,NA,NA,NA,"Oct 17, 2014",NA
"The Giver",2014,"adaptation","36","47","42",57,"61","-4","59","-18",NA,"sci-fi, drama, fantasy","12305016","12.31","45090374",45.09,"21.89","21890082","66980456","67","32.68%","25","267.92%","49.22%","","","http://www.amazon.com/gp/product/B00MR67BCU/?tag=titb-20",1,NA,NA,NA,"Aug 15, 2014",NA
"Million Dollar Arm",2014,"based on a true story","62","56","59",70,"71","-1","71","-12",NA,"biography, drama, sport","10515659","10.52","36457627",36.46,"1.85","1850000","38307627","38","4.83%","25","153.23%","42.06%","","","http://www.amazon.com/gp/product/B00O8NRZV2/?tag=titb-20",1,NA,NA,NA,"May 16, 2014",NA
"Draft Day",2014,"original screenplay ","61","54","58",66,"66","0","66","-9",NA,"drama, sport","9783603","9.78","28842237",28.84,"0.62","619809","29462046","29","2.10%","25","117.85%","39.13%","","","http://www.amazon.com/gp/product/B00LMKLJY8/?tag=titb-20",1,NA,NA,NA,"Apr 11, 2014",NA
"Ride Along",2014,"original screenplay ","18","41","30",59,"55","4","57","-28",NA,"action, comedy, adventure, family, animation","41516170","41.52","134938200",134.94,"19.06","19059619","153997819","154","12.38%","25","615.99%","166.06%","","","http://www.amazon.com/gp/product/B00JP5P1KU/?tag=titb-20",1,NA,NA,NA,"Jan 17, 2014",NA
"The Gambler",2014,"remake / reboot","46","55","51",33,"58","-25","46","5",NA,"drama, thriller, crime","9129999","9.13","33680992",33.68,"5.49","5490138","39171130","39","14.02%","25","156.68%","36.52%","","","http://www.amazon.com/gp/product/B00R7FUC7M/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2014",NA
"Foxcatcher",2014,"based on a true story","88","81","85",67,"71","-4","69","16",NA,"drama","270877","0.27","12096300",12.1,"6.9","6900000","12096300","12","57.04%","24","50.40%","1.13%","","","http://www.amazon.com/gp/product/B00R2LYXKI/?tag=titb-20",1,NA,NA,NA,"Nov 14, 2014",NA
"Think Like a Man Too",2014,"sequel","23","38","31",60,"41","19","51","-20",NA,"comedy, romance","29241911","29.24","65182182",65.18,"5","4999246","70181428","70","7.12%","24","292.42%","121.84%","","","http://www.amazon.com/gp/product/B00L4YU34O/?tag=titb-20",1,NA,NA,NA,"Jun 20, 2014",NA
"Son of God",2014,"adaptation","21","37","29",73,"39","34","56","-27",NA,"drama","25601865","25.6","59700064",59.7,"8.1","8100000","67800604","68","11.95%","22","308.18%","116.37%","","","http://www.amazon.com/gp/product/B00JWEOYCU/?tag=titb-20",1,NA,NA,NA,"Feb 28, 2014",NA
"The Hundred-Foot Journey",2014,"adaptation","68","55","62",81,"71","10","76","-15",NA,"drama, romance","10979290","10.98","54240821",54.24,"34.64","34640000","88880821","89","38.97%","22","404.00%","49.91%","","","http://www.amazon.com/gp/product/B00N2YWAF4/?tag=titb-20",1,NA,NA,NA,"Aug 8, 2014",NA
"John Wick",2014,"original screenplay ","85","68","77",80,"79","1","80","-3",NA,"action, thriller","14415922","14.42","43037835",43.04,"35.7","35702062","78739897","79","45.34%","20","393.70%","72.08%","","","http://www.amazon.com/gp/product/B00R8Q0KV8/?tag=titb-20",1,NA,NA,NA,"Oct 24, 2014",NA
"Tammy",2014,"original screenplay ","23","39","31",37,"30","7","34","-3",NA,"comedy","21577049","21.58","84525432",84.53,"15.85","15850000","100375432","100","15.79%","20","501.88%","107.89%","","","http://www.amazon.com/gp/product/B00LGITGDW/?tag=titb-20",1,NA,NA,NA,"Jul 2, 2014",NA
"This is Where I Leave You",2014,"adaptation","41","44","43",60,"63","-3","62","-19",NA,"drama, comedy","11558149","11.56","34296320",34.3,"6.7","6700000","40996320","41","16.34%","19.8","207.05%","58.37%","","","http://www.amazon.com/gp/product/B00OVNQ31W/?tag=titb-20",1,NA,NA,NA,"Sep 19, 2014",NA
"Neighbors",2014,"original screenplay ","73","68","71",64,"63","1","64","7",NA,"comedy","49033915","49.03","150157400",150.16,"118","118000000","268157400","268","44.00%","18","1489.76%","272.41%","","","http://www.amazon.com/gp/product/B00K7WZVXC/?tag=titb-20",1,NA,NA,NA,"May 9, 2014",NA
"Let's Be Cops",2014,"original screenplay ","18","30","24",53,"65","-12","59","-35",NA,"action, comedy","17813722","17.81","82390774",82.39,"55.22","55223280","137614054","138","40.13%","17","809.49%","104.79%","","","http://www.amazon.com/gp/product/B00MO7Y6DO/?tag=titb-20",1,NA,NA,NA,"Aug 13, 2014",NA
"Left Behind ",2014,"adaptation","2","12","7",44,"29","15","37","-30",NA,"thriller","6300147","6.3","14019924",14.02,"5.66","5663000","19682924","20","28.77%","16","123.02%","39.38%","","","http://www.amazon.com/gp/product/B00RCSA1ES/?tag=titb-20",1,NA,NA,NA,"Oct 3, 2014",NA
"When the Game Stands Tall",2014,"adaptation","18","41","30",73,"73","0","73","-44",NA,"drama, sport","8381509","8","30127963",30,"0","10949","30127963","30","0.04%","15","200.85%","55.88%","","","http://www.amazon.com/gp/product/B00MXU9YIE/?tag=titb-20",1,NA,NA,NA,"Aug 22, 2014",NA
"The Imitation Game",2014,"based on a true story","89","73","81",92,"82","10","87","-6",NA,"biography, drama, thriller, war","479352","0.48","91125683",91.13,"128.85","128854276","219979959","220","58.58%","14","1571.29%","3.42%","","","http://www.amazon.com/gp/product/B00R7FRTWI/?tag=titb-20",1,NA,NA,NA,"Nov 28, 2014",NA
"No Good Deed (2014)",2014,"original screenplay ","10","26","18",57,"44","13","51","-33",NA,"thriller, horror, crime","24250283","24.25","52543632",52.54,"1.78","1779578","54323210","54","3.28%","13.2","411.54%","183.71%","","","http://www.amazon.com/gp/product/B00NMUWM1A/?tag=titb-20",1,NA,NA,NA,"Sep 12, 2014",NA
"Earth to Echo",2014,"original screenplay ","48","53","51",47,"47","0","47","4",NA,"adventure, sci-fi, family","8364658","8.36","38934842",38.93,"6.4","6401862","45336704","45","14.12%","13","348.74%","64.34%","","","http://www.amazon.com/gp/product/B00NMUU0SW/?tag=titb-20",1,NA,NA,NA,"Jul 2, 2014",NA
"St. Vincent",2014,"original screenplay ","77","64","71",80,"76","4","78","-8",NA,"drama, comedy","109878","0.11","44137712",44.14,"10.7","10699522","54837234","55","19.51%","13","421.82%","0.85%","","","http://www.amazon.com/gp/product/B00QUEE4GQ/?tag=titb-20",1,NA,NA,NA,"Oct 10, 2014",NA
"The Drop",2014,"adaptation","89","69","79",76,"76","0","76","3",NA,"crime, drama","4104552","4.1","10724389",10.72,"7.93","7933992","18658381","19","42.52%","12.6","148.08%","32.58%","","","http://www.amazon.com/gp/product/B00O4UQ038/?tag=titb-20",1,NA,NA,NA,"Sep 12, 2014",NA
"About Last Night (2014)",2014,"adaptation","68","62","65",66,"61","5","64","2",NA,"drama, comedy, romance","25649011","25.65","48637684",48.64,"0.37","365000","49002684","49","0.74%","12.5","392.02%","205.19%","","","http://www.amazon.com/gp/product/B00IGE5IG8/?tag=titb-20",1,NA,NA,NA,"Feb 14, 2014",NA
"Heaven is for Real",2014,"adaptation","46","47","47",67,"45","22","56","-10",NA,"drama","22522221","22.52","91443253",91.44,"9.89","9889709","101332962","101","9.76%","12","844.44%","187.69%","","","http://www.amazon.com/gp/product/B00M0I05QY/?tag=titb-20",1,NA,NA,NA,"Apr 16, 2014",NA
"The Fault in our Stars",2014,"adaptation","81","69","75",86,"74","12","80","-5",NA,"drama, romance","48002523","48","124872350",124.87,"182.37","182366663","307239013","307","59.36%","12","2560.33%","400.02%","","","http://www.amazon.com/gp/product/B00KPQ7MY6/?tag=titb-20",1,NA,NA,NA,"Jun 6, 2014",NA
"If I Stay",2014,"adaptation","36","46","41",62,"56","6","59","-18",NA,"drama, romance, music","15679190","15.68","50474843",50.47,"27.8","27800000","78274843","78","35.52%","11","711.59%","142.54%","","","http://www.amazon.com/gp/product/B00OI7J214/?tag=titb-20",1,NA,NA,NA,"Aug 22, 2014",NA
