"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"Maze Runner: The Death Cure",2018,"sequel","42","51","47",60,"65","-5","63","-16",NA,"thriller, suspense","24167011","24.2","58032443",58,"230","230229298","288261741","2883","79.87%","62","464.94%","38.98%",NA,NA,"https://www.amazon.com/Maze-Runner-Death-Dylan-OBrien/dp/B07981P2YW/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975545&sr=1-2&keywords=Maze+Runner3A+The+Death+Cure",NA,NA,NA,NA,"Jan 26, 2018",NA
"Midnight Sun",2018,"remake","22","38","30",52,"42","10","47","-17",NA,"drama","4003993","4.0","9561064",10,"18","17804403","27365467","274","65.06%","2.8","977.34%","143.00%",NA,NA,"https://www.amazon.com/Midnight-Sun-Bella-Thorne/dp/B07C8ZWPCB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975535&sr=1-2&keywords=Midnight+Sun",NA,NA,NA,NA,"Mar 23, 2018",NA
"Mile 22",2018,"original screenplay","20","39","30",47,"53","-6","50","-21",NA,"action","13710825","13.7","26083893",26,"7","7224759","33308652","333","21.69%","50","66.62%","27.42%",NA,NA,"https://www.amazon.com/Mile-22-Mark-Wahlberg/dp/B07GDVFCFC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975526&sr=1-1&keywords=Mile+22",NA,NA,NA,NA,"Aug 17, 2018",NA
"Mission: Impossible - Fallout",2018,"sequel","97","86","92",90,"84","6","87","5",NA,"action","61236534","61.2","194713111",195,"346","345966570","540679681","5407","63.99%","178","303.75%","34.40%",NA,NA,"https://www.amazon.com/Mission-Impossible-Fallout-Tom-Cruise/dp/B07FSZ9TP7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975515&sr=1-1&keywords=Mission3A+Impossible+-+Fallout",NA,NA,NA,NA,"Jul 27, 2018",NA
"Molly's Game",2018,"adaptation","82","71","77",84,"74","10","79","-3",NA,"drama","6856578","6.9","28780744",29,"31","30503271","59284015","593","51.45%","30","197.61%","22.86%",NA,NA,"https://www.amazon.com/Mollys-Game-Jessica-Chastain/dp/B07B4NGGV8/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975496&sr=1-2&keywords=Molly27s+Game",NA,NA,NA,NA,"Jan 5, 2018",NA
"Mortal Engines",2018,"adaptation","27","44","36",59,"65","-6","62","-27",NA,"action, adventure","7559850","7.6","15547230",16,"54","53700000","69247230","692","77.55%","100","69.25%","7.56%",NA,NA,"https://www.amazon.com/Mortal-Engines-Hugo-Weaving/dp/B07L8JW6V1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975483&sr=1-1&keywords=Mortal+Engines",NA,NA,NA,NA,"Dec 14, 2018",NA
"Night School",2018,"original screenplay","28","43","36",43,"54","-11","49","-13",NA,"comedy","27257615","27.3","77339130",77,"26","25531416","102870546","1029","24.82%","29","354.73%","93.99%",NA,NA,"https://www.amazon.com/Night-School-Kevin-Hart/dp/B07HMMT891/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975472&sr=1-1&keywords=Night+School",NA,NA,NA,NA,"Sep 28, 2018",NA
"Nobody's Fool",2018,"original screenplay","24","39","32",38,"31","7","35","-3",NA,"comedy","13743111","13.7","31713110",32,"2","1819483","33532593","335","5.43%","19","176.49%","72.33%",NA,NA,"https://www.amazon.com/Nobodys-Fool-Tiffany-Haddish/dp/B07JZ766RK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975455&sr=1-1&keywords=Nobody27s+Fool",NA,NA,NA,NA,"Nov 2, 2018",NA
"Ocean’s 8",2018,"semi-sequel","68","61","65",46,"52","-6","49","16",NA,"action","41607378","41.6","139022754",139,"153","152718455","291741209","2917","52.35%","70","416.77%","59.44%",NA,NA,"https://www.amazon.com/Oceans-8-Sandra-Bullock/dp/B07FK84VVR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975446&sr=1-1&keywords=OceanE28099s+8",NA,NA,NA,NA,"Jun 8, 2018",NA
"Operation Finale",2018,"based on a true story","60","58","59",66,"69","-3","68","-9",NA,"thriller","6022758","6.0","17612099",18,"0","0","17612099","176","0.00%","24","73.38%","25.09%",NA,NA,"https://www.amazon.com/Operation-Finale-Oscar-Isaac/dp/B07GVR91M9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975432&sr=1-1&keywords=Operation+Finale",NA,NA,NA,NA,"Aug 29, 2018",NA
"Operation Red Sea",2018,"based on a true story","86","-","-",70,"-","-","-","-",NA,"action","436059","0.4","1543547",2,"578","577677013","579220560","5792","99.73%","70","827.46%","0.62%",NA,NA,"https://www.amazon.com/Operation-Red-Sea-Yi-Zhang/dp/B07G2TRS6N/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975422&sr=1-1&keywords=Operation+Red+Sea",NA,NA,NA,NA,"Feb 23, 2018",NA
"Overboard",2018,"remake","86","42","64",70,"44","26","57","7",NA,"romance, comedy","14711101","14.7","50316123",50,"41","40928790","91244913","912","44.86%","12","760.37%","122.59%",NA,NA,"https://www.amazon.com/Overboard-Eugenio-Derbez/dp/B07DQTL51Y/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975414&sr=1-2&keywords=Overboard",NA,NA,NA,NA,"May 4, 2018",NA
"Overlord",2018,"original screenplay","81","60","71",72,"72","0","72","-2",NA,"horror","10202108","10.2","21704844",22,"20","19501211","41206055","412","47.33%","38","108.44%","26.85%",NA,NA,"https://www.amazon.com/Overlord-Jovan-Adepo/dp/B07JZBDZRH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975406&sr=1-1&keywords=Overlord",NA,NA,NA,NA,"Nov 9, 2018",NA
"Pacific Rim: Uprising",2018,"sequel","43","44","44",42,"50","-8","46","-3",NA,"action","28116535","28.1","59185715",59,"231","231276977","290462692","2905","79.62%","150","193.64%","18.74%",NA,NA,"https://www.amazon.com/Pacific-Rim-Uprising-John-Boyega/dp/B07BKRHVYK/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975396&sr=1-2&keywords=Pacific+Rim3A+Uprising",NA,NA,NA,NA,"Mar 23, 2018",NA
"Paddington 2",2018,"sequel","100","88","94",88,"82","6","85","9",NA,"adventure","11001961","11.0","40442052",40,"186","186435244","226877296","2269","82.17%","40","567.19%","27.50%",NA,NA,"https://www.amazon.com/Paddington-2-Ben-Wishaw/dp/B078SMC5PQ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975385&sr=1-2&keywords=Paddington+2",NA,NA,NA,NA,"January 12, 2018",NA
"Papillon",2018,"based on a true story, remake","54","52","53",78,"47","31","63","-10",NA,"drama","1090073","1.1","1090073",1,"2","2478500","3568573","36","69.45%","90","3.97%","1.21%",NA,NA,"https://www.amazon.com/Papillon-Charlie-Hunnam/dp/B07JNGC5YM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975376&sr=1-1&keywords=Papillon",NA,NA,NA,NA,"August 24, 2018",NA
